         lexeme	    lineNo	 tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	          nodeSymbol
        declare	         1	   DECLARE	  --------	<moduleDeclaration>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<moduleDeclarations>	             NO	      <moduleDeclaration>	
         module	         1	    MODULE	  --------	<moduleDeclaration>	            YES	                   MODULE	
        readArr	         1	        ID	  --------	<moduleDeclaration>	            YES	                       ID	
              ;	         1	   SEMICOL	  --------	<moduleDeclaration>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	 <program>	             NO	     <moduleDeclarations>	
       --------	  --------	  --------	  --------	<moduleDeclarations>	             NO	     <moduleDeclarations>	
       --------	  --------	  --------	  --------	  --------	             NO	                <program>	
             <<	         3	       DEF	  --------	  <module>	            YES	                      DEF	
       --------	  --------	  --------	  --------	<otherModules>	             NO	                 <module>	
         module	         3	    MODULE	  --------	  <module>	            YES	                   MODULE	
       arraySum	         3	        ID	  --------	  <module>	            YES	                       ID	
             >>	         3	     ENDEF	  --------	  <module>	            YES	                    ENDEF	
          takes	         4	     TAKES	  --------	  <module>	            YES	                    TAKES	
          input	         4	     INPUT	  --------	  <module>	            YES	                    INPUT	
              [	         4	      SQBO	  --------	  <module>	            YES	                     SQBO	
           list	         4	        ID	  --------	<input_plist>	            YES	                       ID	
       --------	  --------	  --------	  --------	  <module>	             NO	            <input_plist>	
              :	         4	     COLON	  --------	<input_plist>	            YES	                    COLON	
          array	         4	     ARRAY	  --------	<dataType>	            YES	                    ARRAY	
       --------	  --------	  --------	  --------	<input_plist>	             NO	               <dataType>	
              [	         4	      SQBO	  --------	<dataType>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
              1	         4	       NUM	         1	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
       --------	  --------	  --------	  --------	<dataType>	             NO	              <range_arr>	
             ..	         4	   RANGEOP	  --------	<range_arr>	            YES	                  RANGEOP	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
             15	         4	       NUM	        15	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
              ]	         4	      SQBC	  --------	<dataType>	            YES	                     SQBC	
             of	         4	        OF	  --------	<dataType>	            YES	                       OF	
           real	         4	      REAL	  --------	    <type>	            YES	                     REAL	
       --------	  --------	  --------	  --------	<dataType>	             NO	                   <type>	
              ,	         4	     COMMA	  --------	     <iP0>	            YES	                    COMMA	
       --------	  --------	  --------	  --------	<input_plist>	             NO	                    <iP0>	
              n	         4	        ID	  --------	     <iP0>	            YES	                       ID	
              :	         4	     COLON	  --------	     <iP0>	            YES	                    COLON	
        integer	         4	   INTEGER	  --------	<dataType>	            YES	                  INTEGER	
       --------	  --------	  --------	  --------	     <iP0>	             NO	               <dataType>	
       --------	  --------	  --------	  --------	     <iP0>	             NO	                    <iP0>	
              ]	         4	      SQBC	  --------	  <module>	            YES	                     SQBC	
              ;	         4	   SEMICOL	  --------	  <module>	            YES	                  SEMICOL	
        returns	         5	   RETURNS	  --------	     <ret>	            YES	                  RETURNS	
       --------	  --------	  --------	  --------	  <module>	             NO	                    <ret>	
              [	         5	      SQBO	  --------	     <ret>	            YES	                     SQBO	
            sum	         5	        ID	  --------	<output_plist>	            YES	                       ID	
       --------	  --------	  --------	  --------	     <ret>	             NO	           <output_plist>	
              :	         5	     COLON	  --------	<output_plist>	            YES	                    COLON	
           real	         5	      REAL	  --------	    <type>	            YES	                     REAL	
       --------	  --------	  --------	  --------	<output_plist>	             NO	                   <type>	
       --------	  --------	  --------	  --------	<output_plist>	             NO	                    <oP0>	
              ]	         5	      SQBC	  --------	     <ret>	            YES	                     SQBC	
              ;	         5	   SEMICOL	  --------	     <ret>	            YES	                  SEMICOL	
          start	         6	     START	  --------	<moduleDef>	            YES	                    START	
       --------	  --------	  --------	  --------	  <module>	             NO	              <moduleDef>	
        declare	         7	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
          index	         7	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	         7	     COLON	  --------	<declareStmt>	            YES	                    COLON	
        integer	         7	   INTEGER	  --------	<dataType>	            YES	                  INTEGER	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              ;	         7	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<moduleDef>	             NO	             <statements>	
        declare	         8	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
              t	         8	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	         8	     COLON	  --------	<declareStmt>	            YES	                    COLON	
        boolean	         8	   BOOLEAN	  --------	<dataType>	            YES	                  BOOLEAN	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              ;	         8	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
            sum	         9	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
             :=	         9	  ASSIGNOP	  --------	<lvalueIDStmt>	            YES	                 ASSIGNOP	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	           <lvalueIDStmt>	
            0.0	         9	      RNUM	  0.000000	  <factor>	            YES	                     RNUM	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	<expression>	             NO	            <booleanExpr>	
       --------	  --------	  --------	  --------	    <BE00>	             NO	                    <BE0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	                   <BE00>	
       --------	  --------	  --------	  --------	<lvalueIDStmt>	             NO	             <expression>	
              ;	         9	   SEMICOL	  --------	<lvalueIDStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<assignmentStmt>	             NO	              <whichStmt>	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
            for	        10	       FOR	  --------	<iterativeStmt>	            YES	                      FOR	
       --------	  --------	  --------	  --------	<statement>	             NO	          <iterativeStmt>	
              (	        10	        BO	  --------	<iterativeStmt>	            YES	                       BO	
          index	        10	        ID	  --------	<iterativeStmt>	            YES	                       ID	
             in	        10	        IN	  --------	<iterativeStmt>	            YES	                       IN	
              )	        10	        BC	  --------	<iterativeStmt>	            YES	                       BC	
          start	        11	     START	  --------	<iterativeStmt>	            YES	                    START	
              t	        12	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
             :=	        12	  ASSIGNOP	  --------	<lvalueIDStmt>	            YES	                 ASSIGNOP	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	           <lvalueIDStmt>	
          index	        12	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	<expression>	             NO	            <booleanExpr>	
             <=	        12	        LE	  --------	<relationalOp>	            YES	                       LE	
       --------	  --------	  --------	  --------	    <BE00>	             NO	           <relationalOp>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	                   <BE00>	
              n	        12	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	    <BE00>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	    <BE00>	             NO	                    <BE0>	
       --------	  --------	  --------	  --------	<lvalueIDStmt>	             NO	             <expression>	
              ;	        12	   SEMICOL	  --------	<lvalueIDStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<assignmentStmt>	             NO	              <whichStmt>	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	  <module>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<iterativeStmt>	             NO	                 <module>	
         switch	        13	    SWITCH	  --------	<conditionalStmt>	            YES	                   SWITCH	
       --------	  --------	  --------	  --------	<statement>	             NO	        <conditionalStmt>	
              (	        13	        BO	  --------	<conditionalStmt>	            YES	                       BO	
              t	        13	        ID	  --------	<conditionalStmt>	            YES	                       ID	
              )	        13	        BC	  --------	<conditionalStmt>	            YES	                       BC	
          start	        14	     START	  --------	<conditionalStmt>	            YES	                    START	
           case	        15	      CASE	  --------	<caseStmt>	            YES	                     CASE	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	               <caseStmt>	
           true	        15	      TRUE	  --------	   <value>	            YES	                     TRUE	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	                  <value>	
              :	        15	     COLON	  --------	<caseStmt>	            YES	                    COLON	
          print	        15	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        15	        BO	  --------	  <ioStmt>	            YES	                       BO	
           list	        15	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
              [	        15	      SQBO	  --------	 <whichId>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
              +	        15	      PLUS	  --------	    <sign>	            YES	                     PLUS	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	     <wI0>	             NO	              <index_arr>	
          index	        15	        ID	  --------	<new_index>	            YES	                       ID	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
       --------	  --------	  --------	  --------	 <whichId>	             NO	                    <wI0>	
              ]	        15	      SQBC	  --------	     <wI0>	            YES	                     SQBC	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        15	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        15	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	             <statements>	
            sum	        16	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
             :=	        16	  ASSIGNOP	  --------	<lvalueIDStmt>	            YES	                 ASSIGNOP	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	           <lvalueIDStmt>	
            sum	        16	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	         <arithmeticExpr>	
              +	        16	      PLUS	  --------	     <op1>	            YES	                     PLUS	
       --------	  --------	  --------	  --------	     <AE0>	             NO	                    <op1>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
           list	        16	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
              [	        16	      SQBO	  --------	    <N_11>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
          index	        16	        ID	  --------	  <id_num>	            YES	                       ID	
       --------	  --------	  --------	  --------	<arrFactor>	             NO	                 <id_num>	
       --------	  --------	  --------	  --------	 <arrTerm>	             NO	              <arrFactor>	
       --------	  --------	  --------	  --------	 <arrExpr>	             NO	                <arrTerm>	
       --------	  --------	  --------	  --------	 <arrTerm>	             NO	                 <arr_N5>	
       --------	  --------	  --------	  --------	<element_index_with_expression>	             NO	                <arrExpr>	
       --------	  --------	  --------	  --------	 <arrExpr>	             NO	                 <arr_N4>	
       --------	  --------	  --------	  --------	    <N_11>	             NO	<element_index_with_expression>	
              ]	        16	      SQBC	  --------	    <N_11>	            YES	                     SQBC	
       --------	  --------	  --------	  --------	     <AE0>	             NO	                   <term>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	     <AE0>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	<expression>	             NO	            <booleanExpr>	
       --------	  --------	  --------	  --------	    <BE00>	             NO	                    <BE0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	                   <BE00>	
       --------	  --------	  --------	  --------	<lvalueIDStmt>	             NO	             <expression>	
              ;	        16	   SEMICOL	  --------	<lvalueIDStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<assignmentStmt>	             NO	              <whichStmt>	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
          break	        17	     BREAK	  --------	<caseStmt>	            YES	                    BREAK	
              ;	        17	   SEMICOL	  --------	<caseStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<conditionalStmt>	             NO	              <caseStmts>	
           case	        18	      CASE	  --------	<caseStmt>	            YES	                     CASE	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	               <caseStmt>	
          false	        18	     FALSE	  --------	   <value>	            YES	                    FALSE	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	                  <value>	
              :	        18	     COLON	  --------	<caseStmt>	            YES	                    COLON	
          print	        18	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        18	        BO	  --------	  <ioStmt>	            YES	                       BO	
            sum	        18	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        18	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        18	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	             <statements>	
          print	        19	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        19	        BO	  --------	  <ioStmt>	            YES	                       BO	
          index	        19	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        19	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        19	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
          break	        21	     BREAK	  --------	<caseStmt>	            YES	                    BREAK	
              ;	        21	   SEMICOL	  --------	<caseStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	              <caseStmts>	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	              <caseStmts>	
       --------	  --------	  --------	  --------	<conditionalStmt>	             NO	                <default>	
            end	        22	       END	  --------	<conditionalStmt>	            YES	                      END	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	  <module>	             NO	             <statements>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
            end	        24	       END	  --------	<iterativeStmt>	            YES	                      END	
          print	        25	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        25	        BO	  --------	  <ioStmt>	            YES	                       BO	
            sum	        25	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        25	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        25	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	     <ret>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<iterativeStmt>	             NO	                    <ret>	
       --------	  --------	  --------	  --------	     <ret>	             NO	             <statements>	
