         lexeme	    lineNo	 tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	          nodeSymbol
        declare	         1	   DECLARE	  --------	<moduleDeclaration>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<moduleDeclarations>	             NO	      <moduleDeclaration>	
         module	         1	    MODULE	  --------	<moduleDeclaration>	            YES	                   MODULE	
        readArr	         1	        ID	  --------	<moduleDeclaration>	            YES	                       ID	
              ;	         1	   SEMICOL	  --------	<moduleDeclaration>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	 <program>	             NO	     <moduleDeclarations>	
       --------	  --------	  --------	  --------	<moduleDeclarations>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<moduleDeclarations>	             NO	     <moduleDeclarations>	
       --------	  --------	  --------	  --------	  --------	             NO	                <program>	
             <<	         3	       DEF	  --------	  <module>	            YES	                      DEF	
       --------	  --------	  --------	  --------	<otherModules>	             NO	                 <module>	
         module	         3	    MODULE	  --------	  <module>	            YES	                   MODULE	
       arraySum	         3	        ID	  --------	  <module>	            YES	                       ID	
             >>	         3	     ENDEF	  --------	  <module>	            YES	                    ENDEF	
          takes	         4	     TAKES	  --------	  <module>	            YES	                    TAKES	
          input	         4	     INPUT	  --------	  <module>	            YES	                    INPUT	
              [	         4	      SQBO	  --------	  <module>	            YES	                     SQBO	
           list	         4	        ID	  --------	<input_plist>	            YES	                       ID	
       --------	  --------	  --------	  --------	  <module>	             NO	            <input_plist>	
              :	         4	     COLON	  --------	<input_plist>	            YES	                    COLON	
          array	         4	     ARRAY	  --------	<dataType>	            YES	                    ARRAY	
       --------	  --------	  --------	  --------	<input_plist>	             NO	               <dataType>	
              [	         4	      SQBO	  --------	<dataType>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
              1	         4	       NUM	         1	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
       --------	  --------	  --------	  --------	<dataType>	             NO	              <range_arr>	
             ..	         4	   RANGEOP	  --------	<range_arr>	            YES	                  RANGEOP	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
             15	         4	       NUM	        15	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
              ]	         4	      SQBC	  --------	<dataType>	            YES	                     SQBC	
             of	         4	        OF	  --------	<dataType>	            YES	                       OF	
           real	         4	      REAL	  --------	    <type>	            YES	                     REAL	
       --------	  --------	  --------	  --------	<dataType>	             NO	                   <type>	
              ,	         4	     COMMA	  --------	     <iP0>	            YES	                    COMMA	
       --------	  --------	  --------	  --------	<input_plist>	             NO	                    <iP0>	
              n	         4	        ID	  --------	     <iP0>	            YES	                       ID	
              ]	         5	      SQBC	  --------	     <iP0>	            YES	                     SQBC	
              ;	         5	   SEMICOL	  --------	     <iP0>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	     <iP0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	     <iP0>	             NO	                    <iP0>	
          start	         6	     START	  --------	     <AE0>	            YES	                    START	
       --------	  --------	  --------	  --------	  <module>	             NO	                    <AE0>	
        declare	         7	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
          index	         7	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	     <iL0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	         7	     COLON	  --------	<declareStmt>	            YES	                    COLON	
        integer	         7	   INTEGER	  --------	<dataType>	            YES	                  INTEGER	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              ;	         7	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	     <AE0>	             NO	             <statements>	
        declare	         8	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
              t	         8	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	     <iL0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	         8	     COLON	  --------	<declareStmt>	            YES	                    COLON	
        boolean	         8	   BOOLEAN	  --------	<dataType>	            YES	                  BOOLEAN	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              ;	         8	   SEMICOL	  --------	<declareStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
            sum	         9	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
            for	        10	       FOR	  --------	<iterativeStmt>	            YES	                      FOR	
       --------	  --------	  --------	  --------	<statement>	             NO	          <iterativeStmt>	
              (	        10	        BO	  --------	<iterativeStmt>	            YES	                       BO	
          index	        10	        ID	  --------	<iterativeStmt>	            YES	                       ID	
              )	        10	        BC	  --------	<iterativeStmt>	            YES	                       BC	
          start	        11	     START	  --------	<iterativeStmt>	            YES	                    START	
              t	        12	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
             :=	        12	  ASSIGNOP	  --------	<lvalueIDStmt>	            YES	                 ASSIGNOP	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	           <lvalueIDStmt>	
          index	        12	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	    <N_11>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	      <T0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	     <AE0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	<expression>	             NO	            <booleanExpr>	
             <=	        12	        LE	  --------	<relationalOp>	            YES	                       LE	
       --------	  --------	  --------	  --------	    <BE00>	             NO	           <relationalOp>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	                   <BE00>	
              n	        12	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	    <N_11>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	      <T0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	    <BE00>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	     <AE0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	     <BE0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	    <BE00>	             NO	                    <BE0>	
       --------	  --------	  --------	  --------	<lvalueIDStmt>	             NO	             <expression>	
              ;	        12	   SEMICOL	  --------	<lvalueIDStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<assignmentStmt>	             NO	              <whichStmt>	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	   <bools>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<iterativeStmt>	             NO	                  <bools>	
         switch	        13	    SWITCH	  --------	<conditionalStmt>	            YES	                   SWITCH	
       --------	  --------	  --------	  --------	<statement>	             NO	        <conditionalStmt>	
              (	        13	        BO	  --------	<conditionalStmt>	            YES	                       BO	
              t	        13	        ID	  --------	<conditionalStmt>	            YES	                       ID	
              )	        13	        BC	  --------	<conditionalStmt>	            YES	                       BC	
          start	        14	     START	  --------	<conditionalStmt>	            YES	                    START	
           case	        15	      CASE	  --------	<caseStmt>	            YES	                     CASE	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	               <caseStmt>	
           true	        15	      TRUE	  --------	   <value>	            YES	                     TRUE	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	                  <value>	
              :	        15	     COLON	  --------	<caseStmt>	            YES	                    COLON	
          print	        15	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        15	        BO	  --------	  <ioStmt>	            YES	                       BO	
           list	        15	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
              [	        15	      SQBO	  --------	 <whichId>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	     <wI0>	             NO	              <index_arr>	
          index	        15	        ID	  --------	<new_index>	            YES	                       ID	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
       --------	  --------	  --------	  --------	 <whichId>	             NO	                    <wI0>	
              ]	        15	      SQBC	  --------	     <wI0>	            YES	                     SQBC	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        15	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        15	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	             <statements>	
            sum	        16	        ID	  --------	<assignmentStmt>	            YES	                       ID	
       --------	  --------	  --------	  --------	<simpleStmt>	             NO	         <assignmentStmt>	
             :=	        16	  ASSIGNOP	  --------	<lvalueIDStmt>	            YES	                 ASSIGNOP	
       --------	  --------	  --------	  --------	<whichStmt>	             NO	           <lvalueIDStmt>	
            sum	        16	        ID	  --------	  <factor>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <term>	             NO	                 <factor>	
       --------	  --------	  --------	  --------	    <N_11>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <factor>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                   <term>	
       --------	  --------	  --------	  --------	      <T0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	    <term>	             NO	                     <T0>	
       --------	  --------	  --------	  --------	<booleanExpr>	             NO	         <arithmeticExpr>	
       --------	  --------	  --------	  --------	     <BE0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	     <AE0>	             NO	                    <BE0>	
       --------	  --------	  --------	  --------	<arithmeticExpr>	             NO	                    <AE0>	
       --------	  --------	  --------	  --------	<expression>	             NO	            <booleanExpr>	
              ;	        16	   SEMICOL	  --------	<booleanExpr>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<lvalueIDStmt>	             NO	             <expression>	
       --------	  --------	  --------	  --------	     <op2>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<lvalueIDStmt>	             NO	                    <op2>	
       --------	  --------	  --------	  --------	<assignmentStmt>	             NO	              <whichStmt>	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
          break	        17	     BREAK	  --------	<statements>	            YES	                    BREAK	
              ;	        17	   SEMICOL	  --------	<caseStmt>	            YES	                  SEMICOL	
           case	        18	      CASE	  --------	<caseStmt>	            YES	                     CASE	
       --------	  --------	  --------	  --------	     <op2>	             NO	               <caseStmt>	
          false	        18	     FALSE	  --------	   <value>	            YES	                    FALSE	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	                  <value>	
              :	        18	     COLON	  --------	<caseStmt>	            YES	                    COLON	
          print	        18	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        18	        BO	  --------	  <ioStmt>	            YES	                       BO	
            sum	        18	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
       --------	  --------	  --------	  --------	 <whichId>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        18	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        18	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	             <statements>	
          print	        19	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        19	        BO	  --------	  <ioStmt>	            YES	                       BO	
          index	        19	        ID	  --------	     <var>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <var3>	             NO	                    <var>	
       --------	  --------	  --------	  --------	 <whichId>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	     <var>	             NO	                <whichId>	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                   <var3>	
              )	        19	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        19	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
       --------	  --------	  --------	  --------	<statements>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
          break	        21	     BREAK	  --------	<caseStmt>	            YES	                    BREAK	
              ;	        21	   SEMICOL	  --------	<caseStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<caseStmt>	             NO	                    <op2>	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	     <op2>	             NO	              <caseStmts>	
       --------	  --------	  --------	  --------	<conditionalStmt>	             NO	              <caseStmts>	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<caseStmts>	             NO	              <caseStmts>	
            end	        22	       END	  --------	<conditionalStmt>	            YES	                      END	
       --------	  --------	  --------	  --------	     <ret>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<conditionalStmt>	             NO	                    <ret>	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	   <bools>	             NO	             <statements>	
            end	        24	       END	  --------	<statements>	            YES	                      END	
          print	        25	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
       --------	  --------	  --------	  --------	<statement>	             NO	                 <ioStmt>	
              (	        25	        BO	  --------	  <ioStmt>	            YES	                       BO	
              )	        25	        BC	  --------	  <ioStmt>	            YES	                       BC	
              ;	        25	   SEMICOL	  --------	  <ioStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	     <op2>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <ioStmt>	             NO	                    <op2>	
       --------	  --------	  --------	  --------	  <module>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<iterativeStmt>	             NO	                 <module>	
            end	        26	       END	  --------	  <module>	            YES	                      END	
       --------	  --------	  --------	  --------	<statements>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<iterativeStmt>	             NO	             <statements>	
            <<<	        27	 DRIVERDEF	  --------	     <ret>	            YES	                DRIVERDEF	
       --------	  --------	  --------	  --------	<iterativeStmt>	             NO	                    <ret>	
         driver	        27	    DRIVER	  --------	     <ret>	            YES	                   DRIVER	
        program	        27	   PROGRAM	  --------	     <ret>	            YES	                  PROGRAM	
            >>>	        27	DRIVERENDDEF	  --------	     <ret>	            YES	             DRIVERENDDEF	
          start	        28	     START	  --------	<moduleDef>	            YES	                    START	
       --------	  --------	  --------	  --------	     <ret>	             NO	              <moduleDef>	
        declare	        29	   DECLARE	  --------	<declareStmt>	            YES	                  DECLARE	
       --------	  --------	  --------	  --------	<statement>	             NO	            <declareStmt>	
              A	        29	        ID	  --------	  <idList>	            YES	                       ID	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	                 <idList>	
       --------	  --------	  --------	  --------	     <iL0>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	  <idList>	             NO	                    <iL0>	
              :	        29	     COLON	  --------	<declareStmt>	            YES	                    COLON	
          array	        29	     ARRAY	  --------	<dataType>	            YES	                    ARRAY	
       --------	  --------	  --------	  --------	<declareStmt>	             NO	               <dataType>	
              [	        29	      SQBO	  --------	<dataType>	            YES	                     SQBO	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
              1	        29	       NUM	         1	<new_index>	            YES	                      NUM	
       --------	  --------	  --------	  --------	<index_arr>	             NO	              <new_index>	
       --------	  --------	  --------	  --------	<dataType>	             NO	              <range_arr>	
             ..	        29	   RANGEOP	  --------	<range_arr>	            YES	                  RANGEOP	
       --------	  --------	  --------	  --------	    <sign>	             NO	               <caseStmt>	
       --------	  --------	  --------	  --------	<index_arr>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	<range_arr>	             NO	              <index_arr>	
             15	        29	       NUM	        15	<new_index>	            YES	                      NUM	
